cell_id,lat,lon,year,yield_wheat_winter,yield_anomaly,yield_anomaly_diff,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Nov,temperature_Dec,temperature_Jan,temperature_Feb,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,precipitation_Nov,precipitation_Dec,precipitation_Jan,precipitation_Feb,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,soil_water_Nov,soil_water_Dec,soil_water_Jan,soil_water_Feb,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,solar_radiation_Nov,solar_radiation_Dec,solar_radiation_Jan,solar_radiation_Feb,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,potential_evaporation_Nov,potential_evaporation_Dec,potential_evaporation_Jan,potential_evaporation_Feb,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,gs_solar_rad_w_m2
0,43.75,11.75,1982,3.3040295,-0.07559479714285589,,7.608455725937835,665.699315071106,0.3579608363307212,2577847493.25,795.337813615799,5.4185653,3.7987587,3.1355748,2.029298,4.352599,8.544469,13.980589,19.408058,17.381569147109985,200.8088254928589,68.99714040756226,39.49316692352295,141.63763284683228,55.31566500663757,96.10426902770996,45.96104621887207,0.35429627,0.40253845,0.38362306,0.36613467,0.39825135,0.3619464,0.33381897,0.2607428,189606360.0,118088834.75,139033000.5,214721024.0,333000574.0,434446980.0,560770780.0,588179940.0,48.147010803222656,31.49887979030609,31.102353930473328,49.52126693725586,93.16208410263062,136.06311321258545,183.46514654159543,222.3779582977295,122.52052331858437
0,43.75,11.75,1983,3.028015,-0.4143769420168053,-0.27601450000000005,8.206546059324722,796.1982203722,0.3637573284304831,2509024930.75,788.8198504447937,8.233742,4.562442,3.5031338,0.9856555,6.7225523,10.033265,13.748136,17.525047,154.02365684509277,145.9967565536499,27.314685702323917,107.69235801696776,159.52843618392944,78.06515693664551,65.59420204162598,57.98296809196472,0.38271117,0.40358582,0.373797,0.3964734,0.38466612,0.3706531,0.31335083,0.28632325,152781030.0,109328916.75,166781240.0,185577686.0,338360784.0,456904800.0,533418054.0,565872420.0,40.26612281799317,28.10041666030884,34.91763114929199,46.14173030853272,94.4944257736206,148.92216682434082,188.23775100708008,207.7396059036255,119.24950887893839
0,43.75,11.75,1984,3.5288105,0.023650913109245053,0.5007955000000002,6.659348317134527,861.9617562294006,0.3763853500409381,2392477957.0,739.478399515152,5.940511,3.3477097,2.8807228,1.5366027,3.8413196,8.276233,11.1507845,16.310707,23.474221229553223,110.23982095718384,113.93363118171692,89.4234402179718,126.61353778839111,139.2652702331543,195.19806957244876,63.81376504898071,0.33701354,0.36998415,0.38802248,0.38460755,0.39814574,0.38616824,0.39921325,0.3465411,179040810.0,130306485.0,158792199.0,191895407.0,307409640.0,417262260.0,433363136.0,574408020.0,48.33008050918579,39.4002765417099,39.20829594135285,62.644524335861206,87.2834939956665,127.9932689666748,138.00816106796265,196.61029815673828,113.71023774189968
0,43.75,11.75,1985,3.8002205,0.2322932682352956,0.27140999999999993,7.391914063248753,665.1582727432251,0.3711602564685601,2412290797.0,747.9217225909233,8.203993,4.0473695,-1.5753992,2.4914343,5.4348254,9.643123,13.611876,17.219692,74.69613790512085,70.03723549842834,100.50861811637878,66.24317169189453,140.22096014022827,63.43244791030884,102.64922952651978,47.3704719543457,0.37984377,0.38165402,0.3892389,0.38709655,0.40327454,0.36384946,0.35733765,0.30648744,169198635.0,120490319.5,120284138.5,193410420.0,305705167.0,474585540.0,484479997.0,544136580.0,43.915207386016846,28.408877193927765,18.24479043483734,44.38719749450684,87.08520889282227,171.0618495941162,153.50686025619507,201.31173133850095,114.65190691805677
0,43.75,11.75,1986,3.6489942,0.018299323361345987,-0.1512262999999998,7.817650667399414,885.7354927062988,0.3782551539830925,2388638860.5,726.1640328764915,6.218142,5.433561,2.5240588,0.14348754,5.4037123,9.393474,16.320515,16.645603,125.4658842086792,85.82357668876648,112.6237654685974,116.72819900512695,104.37587237358092,151.6785764694214,56.05588150024414,132.98373699188232,0.3919696,0.3781891,0.39570007,0.3982544,0.39352906,0.3852472,0.32219055,0.36307496,138032325.0,127440194.0,150425097.5,137988172.0,305997714.0,394636260.0,591377638.0,542741460.0,40.38714051246643,23.512987554073334,34.52786064147949,31.596601009368896,88.70153403282166,126.62166595458984,198.9181547164917,181.8980884552002,113.52777228826744
0,43.75,11.75,1987,3.818123,0.12466047848739636,0.16912879999999975,6.8270469958131965,621.3503212928772,0.3626635067226473,2585964497.5,783.3881878852844,7.302861,2.5849643,0.31174195,2.989142,2.731527,9.470067,12.212834,17.072948,66.34047031402588,59.999491930007935,139.589430809021,76.69412517547607,58.9912223815918,79.80428695678711,90.1362407207489,49.795053005218506,0.35482484,0.3639056,0.39140627,0.40014282,0.36657774,0.37201235,0.3522003,0.30195555,173233365.0,147028195.0,118241889.5,175222278.0,379430390.0,475165920.0,529499840.0,588142620.0,48.73826265335083,30.61344826221466,24.92003166675568,35.96492528915405,103.15800213813782,149.39579486846924,172.48004245758057,218.1176805496216,122.90631014697249
0,43.75,11.75,1988,3.725099,-0.031131166386553222,-0.09302399999999977,8.353784790745488,801.1218795776367,0.3826903137895796,2424974224.75,720.5032639503479,7.2327995,4.695853,5.093883,3.7624745,5.5106235,9.9200945,14.1503315,16.443323,142.12617874145508,82.74817681312561,63.83931088447571,85.11593866348267,81.93032836914062,99.50912475585938,125.43707180023192,120.41574954986572,0.3868872,0.38722414,0.37893558,0.38802674,0.38919067,0.3795209,0.38811344,0.36337832,157180200.0,120218395.25,137524199.5,224335503.0,363875551.0,399565830.0,481161726.0,541112820.0,43.68141174316406,24.720320105552677,33.47476851940155,62.61147475242615,110.59272527694702,121.65741920471191,148.60828399658203,175.1568603515625,115.25472776353833
0,43.75,11.75,1989,3.4315882,-0.38740961126050255,-0.29351079999999996,7.888217686621611,513.4201477468014,0.352088048068945,2715599507.5,808.5526231527328,4.1661925,3.1854737,2.3181481,4.986697,8.992296,9.59902,13.435549,16.349644,70.36943435668945,28.52987670898437,7.302466243505478,62.42876529693604,50.51288604736328,146.72252655029297,80.08092880249023,67.47326374053955,0.3585413,0.36268434,0.33077085,0.3306543,0.36986697,0.39098206,0.33944947,0.3325122,169215300.0,162506929.0,195738200.5,230824300.0,406645290.0,405582420.0,580186948.0,564900120.0,43.39822769165039,32.40918564796448,31.87907898426056,52.6107702255249,123.09639406204224,129.40109252929688,198.55926370620728,197.19861030578613,129.0676324545174
0,43.75,11.75,1990,3.9336793,0.05191384386554754,0.5020910999999999,8.646903681360985,503.175528049469,0.3548740016773712,2685408335.0,822.2402909994125,5.7874107,4.3894153,2.7019265,6.9028726,8.209186,8.742725,14.665835,17.813631,89.74552631378174,40.73355686664581,25.66838276386261,32.48679828643799,65.55552506446838,139.4370174407959,48.12486171722412,61.42385959625244,0.37684634,0.37920716,0.3643048,0.36683714,0.34475097,0.39286742,0.30913574,0.30657655,179726835.0,129498222.0,168547403.0,234015684.0,388584349.0,433569900.0,582349322.0,569116620.0,46.35897874832153,26.30677461624145,27.80128538608551,64.88045692443848,117.28712391853333,131.81118965148926,193.81198072433472,213.98250102996823,127.63269952540213
0,43.75,11.75,1991,4.428636,0.4841028989915981,0.4949566999999999,7.101720589251558,786.0179355144501,0.3709021086288878,2494875121.75,751.6632956266403,6.9668226,1.2342737,2.838981,1.4378529,8.669017,7.746932,10.441959,17.274424,115.5242371559143,117.21135902404784,39.43121886253357,108.83844566345216,29.375847816467285,123.99966716766356,190.41397953033447,61.22318029403687,0.38219362,0.3931848,0.37855038,0.38736632,0.35441104,0.37699524,0.3851019,0.30958983,174061275.0,115904063.25,161109898.5,186066454.0,360256456.0,436421130.0,472798205.0,588257640.0,52.08043813705444,31.646366715431213,35.937061071395874,41.00169277191162,114.46204900741576,122.49409675598145,141.21761846542358,212.8239727020264,118.57699353112301
