cell_id,lat,lon,year,yield_maize,yield_anomaly,yield_anomaly_diff,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_May,temperature_Jun,temperature_Jul,temperature_Aug,temperature_Sep,precipitation_May,precipitation_Jun,precipitation_Jul,precipitation_Aug,precipitation_Sep,soil_water_May,soil_water_Jun,soil_water_Jul,soil_water_Aug,soil_water_Sep,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,solar_radiation_Aug,solar_radiation_Sep,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul,potential_evaporation_Aug,potential_evaporation_Sep,gs_solar_rad_w_m2
0,43.75,11.75,1982,9.251022,-1.0768647761904688,,18.613775,365.8976819515228,0.29210743,2624704618.0,964.8373174667358,13.980589,19.408058,21.666544,19.832966,18.180721,96.10426902770996,45.96104621887207,82.14556837081909,73.19575428962708,68.49104404449463,0.33381897,0.2607428,0.25942138,0.28422484,0.3223291,560770780.0,588179940.0,581903108.0,522526390.0,371324400.0,183.46514654159543,222.3779582977295,225.24291896820068,204.0767159461975,129.6745777130127,199.59609508079038
0,43.75,11.75,1983,9.876991,-0.631040265826325,0.6259689999999996,18.25495,327.5260633826256,0.2837854,2620408782.0,996.7564082145692,13.748136,17.525047,23.504335,19.494108,17.003122,65.59420204162598,57.98296809196472,13.191460072994232,133.92640590667725,56.8310272693634,0.31335083,0.28632325,0.20175233,0.29906797,0.31843263,533418054.0,565872420.0,635439736.0,466259282.0,419419290.0,188.23775100708008,207.7396059036255,273.7097759246826,175.9069275856018,151.1623477935791,199.26941752445612
0,43.75,11.75,1984,10.55283,-0.13534575546217908,0.6758389999999999,16.382141,551.1741886138916,0.32070875,2514478346.0,910.1823172569276,11.1507845,16.310707,20.35643,18.824419,15.268366,195.19806957244876,63.81376504898071,26.476619243621823,76.61367416381836,189.072060585022,0.39921325,0.3465411,0.22530274,0.27601194,0.35647464,433363136.0,574408020.0,655400822.0,494289358.0,357017010.0,138.00816106796265,196.61029815673828,262.37181186676025,185.5124025344849,127.67964363098145,191.21392006740643
0,43.75,11.75,1985,10.486564,-0.38175624509803363,-0.0662660000000006,18.76377,229.2411461472512,0.25328,2678356421.0,1056.2008786201477,13.611876,17.219692,22.491356,21.340204,19.15572,102.64922952651978,47.3704719543457,22.537249386310577,43.64317345619202,13.041021823883057,0.35733765,0.30648744,0.20836608,0.20460632,0.18960266,484479997.0,544136580.0,645340268.0,566384756.0,438014820.0,153.50686025619507,201.31173133850095,274.421911239624,251.06562900543213,175.8947467803955,203.67605527875116
0,43.75,11.75,1986,12.218849,1.1703842652661134,1.732285000000001,18.099987,375.6398533582688,0.3029437,2683026048.0,984.8480343818665,16.320515,16.645603,19.714523,21.352816,16.466482,56.05588150024414,132.98373699188232,96.22552537918092,28.81320607662201,61.56150341033936,0.32219055,0.36307496,0.32572204,0.2123712,0.29135984,591377638.0,542741460.0,575410468.0,572152492.0,401343990.0,198.9181547164917,181.8980884552002,213.73716497421265,241.8431692123413,148.4514570236206,204.03115783326032
0,43.75,11.75,1987,11.250535,0.02192577563025644,-0.9683140000000012,18.25331,331.1523865461349,0.285093,2697742364.0,1032.0866074562073,12.212834,17.072948,21.698294,20.72162,19.56085,90.1362407207489,49.795053005218506,54.41012918949127,62.04873609542847,74.7622275352478,0.3522003,0.30195555,0.22710022,0.25379577,0.2904132,529499840.0,588142620.0,627136634.0,535750060.0,417213210.0,172.48004245758057,218.1176805496216,261.84001636505127,225.0168290138245,154.6320390701294,205.1502625079087
0,43.75,11.75,1988,11.657367,0.2486132859944039,0.4068320000000014,18.235193,317.863779515028,0.2813445,2649594910.0,1007.7509307861328,14.1503315,16.443323,22.229874,21.763418,16.589022,125.43707180023192,120.41574954986572,7.5478189289569855,27.70947283506393,36.753666400909424,0.38811344,0.36337832,0.23074587,0.18616028,0.2383246,481161726.0,541112820.0,656654710.0,560025354.0,410640300.0,148.60828399658203,175.1568603515625,271.2951145172119,247.8995122909546,164.79115962982178,201.48888143646275
0,43.75,11.75,1989,10.70632,-0.8825782036414509,-0.9510470000000009,17.1168,529.6397595405579,0.33777586,2608386664.0,912.0234808921814,13.435549,16.349644,20.089304,20.058645,15.650859,80.08092880249023,67.47326374053955,146.1687593460083,107.10374116897584,128.81306648254397,0.33944947,0.3325122,0.34725526,0.31137756,0.3582849,580186948.0,564900120.0,576838576.0,529803020.0,356658000.0,198.55926370620728,197.19861030578613,206.2824935913086,193.00788688659668,116.97522640228271,198.35519358057138
0,43.75,11.75,1990,10.970482,-0.7985606932773042,0.2641620000000007,18.0186,289.81376445293427,0.27876502,2733153768.0,1048.3851833343506,14.665835,17.813631,20.826706,20.275234,16.511593,48.12486171722412,61.42385959625244,60.30712282657623,60.03250002861023,59.92542028427124,0.30913574,0.30657655,0.23695925,0.26706237,0.27409118,582349322.0,569116620.0,627794330.0,558831296.0,395062200.0,193.81198072433472,213.98250102996823,258.1579504013061,226.3399024009705,156.092848777771,207.84312855891372
0,43.75,11.75,1991,9.933992,-2.0151951829131605,-1.0364900000000006,18.01365,393.4898129105568,0.2716886,2658675753.0,1006.0944628715516,10.441959,17.274424,22.219105,21.991703,18.141071,190.41397953033447,61.22318029403687,44.99196004867554,23.22673135995865,73.63396167755127,0.3851019,0.30958983,0.20932312,0.21073243,0.24369569,472798205.0,588257640.0,638633046.0,560155492.0,398831370.0,141.21761846542358,212.8239727020264,265.0934648513794,229.89740085601807,157.0620059967041,202.17943563841436
