term,estimate,std_error,t_value,p_value,ci_lo,ci_hi
const,0.005086423370505223,0.0018293313771346733,2.7804822210354327,0.00542782317356971,0.0015009338713212637,0.008671912869689182
temperature_z,0.00042389196029463946,0.002155476598709009,0.19665811289648114,0.8440950909702276,-0.0038008421731750178,0.004648626093764297
precipitation_z,0.004125342059024605,0.0030395566505042925,1.35721834904448,0.17471184215313806,-0.0018321889759638083,0.010082873094013019
soil_water_z,0.0037253069454742066,0.002866945227687048,1.2993994128306576,0.1938068930925293,-0.0018939057007924076,0.00934451959174082
solar_radiation_z,0.004649988881198821,0.003596500847131077,1.29292027969578,0.19603863273307598,-0.002399152779178089,0.01169913054157573
potential_evaporation_z,0.002545938725642147,0.0027156461934869087,0.9375075191121063,0.34849755783965264,-0.0027767278135921946,0.007868605264876488
temp_x_precip,1.1062388358955148e-05,2.689498757686913e-06,4.113178460238177,3.902484654164375e-05,5.790970793888798e-06,1.6333805924021496e-05
