lat,lon,year,yield_maize,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_May,temperature_Jun,temperature_Jul,temperature_Aug,temperature_Sep,precipitation_May,precipitation_Jun,precipitation_Jul,precipitation_Aug,precipitation_Sep,soil_water_May,soil_water_Jun,soil_water_Jul,soil_water_Aug,soil_water_Sep,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,solar_radiation_Aug,solar_radiation_Sep,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul,potential_evaporation_Aug,potential_evaporation_Sep,cell_id,log_yield,yield_fe,log_yield_fe,aridity_index,temperature_z,precipitation_z,soil_water_z,solar_radiation_z,potential_evaporation_z,aridity_index_z,temperature_c,precipitation_c,soil_water_c,solar_radiation_c,potential_evaporation_c
43.75,11.75,1982,9.251022,18.613775,365.8976819515228,0.29210743,2624704618.0,964.8373174667358,13.980589,19.408058,21.666544,19.832966,18.180721,96.10426902770996,45.96104621887207,82.14556837081909,73.19575428962708,68.49104404449463,0.33381897,0.2607428,0.25942138,0.28422484,0.3223291,560770780.0,588179940.0,581903108.0,522526390.0,371324400.0,183.46514654159543,222.3779582977295,225.24291896820068,204.0767159461975,129.6745777130127,0,2.224734031907638,-2.022720958027211,-0.1244529159478196,0.37923251446390877,0.2838376147318166,-0.7634167303158207,-0.63352120646371,0.8381810010136533,-0.3475637028162734,-0.6288497749892642,1.104988658367347,-166.9965043727334,-0.030483721299319755,119297676.16734695,-65.41133261943355
43.75,11.75,1983,9.876991,18.25495,327.5260633826256,0.2837854,2620408782.0,996.7564082145692,13.748136,17.525047,23.504335,19.494108,17.003122,65.59420204162598,57.98296809196472,13.191460072994232,133.92640590667725,56.8310272693634,0.31335083,0.28632325,0.20175233,0.29906797,0.31843263,533418054.0,565872420.0,635439736.0,466259282.0,419419290.0,188.23775100708008,207.7396059036255,273.7097759246826,175.9069275856018,151.1623477935791,0,2.2902079107177187,-1.4924379699319736,-0.0680541624172033,0.32859188130960065,0.1916665038928806,-0.9388307947887554,-0.8064719572614751,0.807998618302195,-0.1779613277142312,-0.8251384361309346,0.7461636583673474,-205.36812294163065,-0.038805751299319735,115001840.16734695,-33.492241871600186
43.75,11.75,1984,10.55283,16.382141,551.1741886138916,0.32070875,2514478346.0,910.1823172569276,11.1507845,16.310707,20.35643,18.824419,15.268366,195.19806957244876,63.81376504898071,26.476619243621823,76.61367416381836,189.072060585022,0.39921325,0.3465411,0.22530274,0.27601194,0.35647464,433363136.0,574408020.0,655400822.0,494289358.0,357017010.0,138.00816106796265,196.61029815673828,262.37181186676025,185.5124025344849,127.67964363098145,0,2.356394070395928,-0.6634437889795919,0.014986398323023398,0.6055645975138246,-0.28940055085290695,0.08356617781035255,-0.03912058932977212,0.06373534564848003,-0.6379735368562767,0.24843826009317044,-1.1266453416326527,18.280002289635377,-0.0018824012993197692,9071404.167346954,-120.06633282924179
43.75,11.75,1985,10.486564,18.76377,229.2411461472512,0.25328,2678356421.0,1056.2008786201477,13.611876,17.219692,22.491356,21.340204,19.15572,102.64922952651978,47.3704719543457,22.537249386310577,43.64317345619202,13.041021823883057,0.35733765,0.30648744,0.20836608,0.20460632,0.18960266,484479997.0,544136580.0,645340268.0,566384756.0,438014820.0,153.50686025619507,201.31173133850095,274.421911239624,251.06562900543213,175.8947467803955,0,2.3500948187043074,-0.9271366008843547,-0.018253075272262276,0.21704313146069207,0.3223667188084174,-1.3881357095055307,-1.4404436965349647,1.2151365578146507,0.13789739918742785,-1.257513653343373,1.2549836583673475,-303.65304017700504,-0.06931115129931975,172949479.16734695,25.952228533978314
43.75,11.75,1986,12.218849,18.099987,375.6398533582688,0.3029437,2683026048.0,984.8480343818665,16.320515,16.645603,19.714523,21.352816,16.466482,56.05588150024414,132.98373699188232,96.22552537918092,28.81320607662201,61.56150341033936,0.32219055,0.36307496,0.32572204,0.2123712,0.29135984,591377638.0,542741460.0,575410468.0,572152492.0,401343990.0,198.9181547164917,181.8980884552002,213.73716497421265,241.8431692123413,148.4514570236206,0,2.502979759454606,0.40317146340136034,0.0861999141997476,0.38141910248522426,0.15186127335171354,-0.7188808481460103,-0.4083188180624065,1.2479451820809773,-0.24123657892941472,-0.6203743194422413,0.5912006583673453,-157.25433296598743,-0.019647451299319774,177619106.16734695,-45.400615704302936
43.75,11.75,1987,11.250535,18.25331,331.1523865461349,0.285093,2697742364.0,1032.0866074562073,12.212834,17.072948,21.698294,20.72162,19.56085,90.1362407207489,49.795053005218506,54.41012918949127,62.04873609542847,74.7622275352478,0.3522003,0.30195555,0.22710022,0.25379577,0.2904132,529499840.0,588142620.0,627136634.0,535750060.0,417213210.0,172.48004245758057,218.1176805496216,261.84001636505127,225.0168290138245,154.6320390701294,0,2.4204156830752552,-0.6442379389795931,-0.018571710557136356,0.32085716853000257,0.19124523831278994,-0.922253227593841,-0.7792970490067401,1.3513414666725578,0.009766002977885189,-0.8551190331585513,0.7445236583673456,-201.74179977812133,-0.03749815129931977,192335422.16734695,1.8379573700378842
43.75,11.75,1988,11.657367,18.235193,317.863779515028,0.2813445,2649594910.0,1007.7509307861328,14.1503315,16.443323,22.229874,21.763418,16.589022,125.43707180023192,120.41574954986572,7.5478189289569855,27.70947283506393,36.753666400909424,0.38811344,0.36337832,0.23074587,0.18616028,0.2383246,481161726.0,541112820.0,656654710.0,560025354.0,410640300.0,148.60828399658203,175.1568603515625,271.2951145172119,247.8995122909546,164.79115962982178,0,2.45593834067107,-0.0799704032653068,0.038755115332492096,0.3154189887644825,0.18659153799907427,-0.9830014747996421,-0.8571994225100106,1.0130592596212795,-0.11954183337519605,-0.8761980157607041,0.7264066583673454,-215.03040680922823,-0.04124665129931976,144187968.16734695,-22.49771930003658
43.75,11.75,1989,10.70632,17.1168,529.6397595405579,0.33777586,2608386664.0,912.0234808921814,13.435549,16.349644,20.089304,20.058645,15.650859,80.08092880249023,67.47326374053955,146.1687593460083,107.10374116897584,128.81306648254397,0.33944947,0.3325122,0.34725526,0.31137756,0.3582849,580186948.0,564900120.0,576838576.0,529803020.0,356658000.0,198.55926370620728,197.19861030578613,206.2824935913086,193.00788688659668,116.97522640228271,0,2.37083422130593,-1.750354319931974,-0.12466726138189177,0.5807303985446087,-0.10068923999713586,-0.01487746024143063,0.3155728554725239,0.7235316678696571,-0.6281904973593966,0.15217817481067544,-0.3919863416326521,-3.2544267836983636,0.015184708700680227,102979722.16734695,-118.225169193988
43.75,11.75,1990,10.970482,18.0186,289.81376445293427,0.27876502,2733153768.0,1048.3851833343506,14.665835,17.813631,20.826706,20.275234,16.511593,48.12486171722412,61.42385959625244,60.30712282657623,60.03250002861023,59.92542028427124,0.30913574,0.30657655,0.23695925,0.26706237,0.27409118,582349322.0,569116620.0,627794330.0,558831296.0,395062200.0,193.81198072433472,213.98250102996823,258.1579504013061,226.3399024009705,156.092848777771,0,2.395208211334655,-1.0567031651700685,-0.046841024651982366,0.2764382490900837,0.13095545520122667,-1.11123081028452,-0.9108068960072011,1.60014066382023,0.09636863215527161,-1.0272916479766514,0.5098136583673458,-243.08042187132196,-0.04382613129931978,227746826.16734695,18.136533248181195
43.75,11.75,1991,9.933992,18.01365,393.4898129105568,0.2716886,2658675753.0,1006.0944628715516,10.441959,17.274424,22.219105,21.991703,18.141071,190.41397953033447,61.22318029403687,44.99196004867554,23.22673135995865,73.63396167755127,0.3851019,0.30958983,0.20932312,0.21073243,0.24369569,472798205.0,588257640.0,638633046.0,560155492.0,398831370.0,141.21761846542358,212.8239727020264,265.0934648513794,229.89740085601807,157.0620059967041,0,2.295962411369755,-1.632948522312926,-0.09794536323427305,0.3911062305098818,0.12968395238327138,-0.637280590650427,-1.0578710320365496,1.0768609221541758,-0.1283434905029877,-0.5828259462914956,0.5048636583673449,-139.40437341369943,-0.050902551299319754,153268811.16734695,-24.154187214617764
