lat,lon,year,yield_maize,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
43.75,12.25,2001,12.550413,18.564867,323.63640344142914,0.2666913,2736702428.0,1170.703016281128
43.75,12.25,2002,13.700252,17.982649,527.1806390285492,0.32648325,2547355946.0,960.0981550216675
43.75,12.25,2003,10.328343,20.939402,248.72064596414566,0.22935376,2829288216.0,1257.0030841827393
43.75,12.25,2004,13.631329,18.155064,335.9579025506973,0.27786684,2765012006.0,1131.4489941596985
43.75,12.25,2005,13.343089,18.408878,405.5695935487747,0.2938551,2687832803.0,1079.8137321472168
43.75,12.25,2006,12.310681,18.817738,353.32112777233124,0.27426088,2777766380.0,1149.6468868255615
43.75,12.25,2007,11.425924,18.890131,257.1194698214531,0.24748096,2769978378.0,1222.584093093872
43.75,12.25,2008,13.244232,18.681606,304.5972016453743,0.27276403,2719561894.0,1111.8440337181091
43.75,12.25,2009,12.279324,19.446735,286.94654846191406,0.2679116,2761668812.0,1153.1240801811218
43.75,12.25,2010,13.232971,18.100687,445.0886620283127,0.30876988,2642273170.0,1040.7121982574463
43.75,12.25,2011,13.374756,19.572422,265.3377624452114,0.24857602,2843475854.0,1214.5092058181763
43.75,12.25,2012,11.952649,19.793777,334.3011088371277,0.26282215,2785366348.0,1238.301483631134
43.75,12.25,2013,13.196612,18.381506,383.1544826030731,0.2893795,2717807055.0,1074.3098363876343
43.75,12.25,2014,15.481664,17.703997,508.85729229450226,0.32654387,2609594870.0,992.3031845092773
43.75,12.25,2015,13.971738,19.80364,329.649689078331,0.26676184,2744961612.0,1136.7814841270447
43.75,12.25,2016,15.269319,18.583569,443.1103484630585,0.31877846,2732626916.0,1055.716390132904
44.25,6.75,1982,4.623395,11.345995,526.2289519309998,0.3638999,2571489472.0,934.532600402832
44.25,6.75,1983,4.611639,10.780763,643.1754100322723,0.37969285,2444179445.0,862.2608261108398
44.25,6.75,1984,3.9521432,9.072236,587.2409697771072,0.34808078,2379179215.0,858.37029504776
44.25,6.75,1985,5.707234,11.297396,389.5504597425461,0.30451185,2669113988.0,1042.5817558765411
44.25,6.75,1986,4.419776,11.27255,433.5496085882187,0.34776452,2592178836.0,944.1633622646332
44.25,6.75,1987,5.979317,10.981498,536.3923716545105,0.37032372,2697417728.0,959.271933555603
44.25,6.75,1988,5.825632,10.925537,495.5056884288788,0.35186598,2597800456.0,942.6637675762177
44.25,6.75,1989,5.886028,10.972066,440.5950676202774,0.35093433,2753713684.0,1004.3419885635376
44.25,6.75,1990,5.1294246,11.441429,439.6248071193695,0.3367064,2751360402.0,1027.8203573226929
44.25,6.75,1991,6.080171,11.199919,511.68583488464355,0.31884044,2655705056.0,1035.6505961418152
44.25,6.75,1992,5.750597,11.056336,624.399636387825,0.3507262,2571936097.0,937.4061417579651
44.25,6.75,1993,7.243155,11.120088,549.862450838089,0.3408761,2735717802.0,1035.8902220726013
44.25,6.75,1994,7.291387,11.909702,601.3530079126358,0.35139683,2656173140.0,1030.2472715377808
44.25,6.75,1995,6.73921,10.097939,673.8873796463013,0.3958945,2634645838.0,906.7215595245361
44.25,6.75,1996,6.908524,9.905158,507.76312232017517,0.38121754,2567749614.0,896.6262121200562
44.25,6.75,1997,9.301863,11.386475,481.3523905277252,0.3557455,2703137572.0,1008.4416456222534
44.25,6.75,1998,7.3282213,11.670439,439.141774058342,0.31108972,2803466426.0,1116.3437819480896
44.25,6.75,1999,8.161449,11.647921,543.1673551797867,0.3609751,2704038328.0,1005.232789516449
44.25,6.75,2000,8.674846,11.641713,463.46580839157104,0.327178,2841488820.0,1110.1047768592834
44.25,6.75,2001,7.44235,11.49807,425.80746042728424,0.29782644,2768585798.0,1127.164948940277
44.25,6.75,2002,7.9572277,10.893557,646.2734317779541,0.3789397,2633113414.0,959.0232849121094
44.25,6.75,2003,6.5870137,13.183744,324.57532382011414,0.29747424,2895820694.0,1205.873511314392
44.25,6.75,2004,8.279416,11.266047,333.6812072992325,0.31173173,2760461956.0,1087.3066833019257
44.25,6.75,2005,7.84974,11.681519,473.5771200656891,0.35753697,2798318396.0,1072.1561117172241
44.25,6.75,2006,8.269001,11.864582,526.4059460163116,0.34757668,2782471640.0,1090.4281063079834
44.25,6.75,2007,8.978598,11.3516445,433.067151427269,0.31214368,2833054600.0,1132.45378780365
44.25,6.75,2008,7.6570053,11.141419,561.1143107414246,0.34648424,2667980993.0,1013.9135944843292
44.25,6.75,2009,8.133558,12.424906,417.9490604400635,0.33261633,2810918416.0,1123.741970539093
44.25,6.75,2010,7.265375,10.925311,517.7090219259262,0.34893003,2627911975.0,964.4651942253113
44.25,6.75,2011,9.40475,11.795517,491.70287239551544,0.35314676,2805107680.0,1062.6321930885315
44.25,6.75,2012,7.8404403,12.456777,382.41773426532745,0.30466074,2829687048.0,1190.0431747436523
44.25,6.75,2013,5.7625527,10.775476,561.4043304920197,0.3604741,2629550778.0,952.46431016922
44.25,6.75,2014,7.6578727,10.878809,534.8395164012909,0.36725062,2679977306.0,978.5657076835632
44.25,6.75,2015,6.970556,12.642485,484.4245014190674,0.34116682,2773621822.0,1108.3605880737305
44.25,6.75,2016,7.3050027,12.012144,496.3771768808365,0.33876234,2840808280.0,1113.3638467788696
44.25,7.25,1982,9.7270155,13.050962,544.4137835502625,0.36520398,2494372951.0,985.2907919883728
44.25,7.25,1983,10.491192,12.524153,648.2618386745453,0.37231642,2443912681.0,960.5448637008667
44.25,7.25,1984,9.173004,10.745813,693.6931754350662,0.36380345,2368274846.0,911.265860080719
44.25,7.25,1985,9.336946,13.005396,431.148873090744,0.3108063,2593339918.0,1091.3244066238403
44.25,7.25,1986,9.386203,12.872706,500.35188269615173,0.34744567,2503367837.0,990.2575554847717
44.25,7.25,1987,10.644662,12.730981,501.29917335510254,0.36209434,2591311793.0,1026.288489818573
44.25,7.25,1988,10.373955,12.649725,529.1033111810684,0.35349146,2525622164.0,996.5432252883911
44.25,7.25,1989,11.701511,12.483613,471.7353971004486,0.3607738,2643949664.0,1041.4897484779358
44.25,7.25,1990,11.650142,13.072632,489.23671078681946,0.34659094,2617509434.0,1061.2497582435608
44.25,7.25,1991,10.559614,12.807528,530.3457969427109,0.31752038,2604515749.0,1103.1896424293518
44.25,7.25,1992,12.242355,12.627554,650.2788965702057,0.36041164,2495549501.0,961.7433609962463
44.25,7.25,1993,13.239369,12.777681,544.9436997175217,0.33833456,2630604824.0,1077.3878450393677
44.25,7.25,1994,12.787732,13.551718,634.8695456981659,0.35232154,2569785306.0,1072.2391662597656
44.25,7.25,1995,14.445011,11.729643,734.9848113059998,0.39346385,2535223382.0,970.6991300582886
44.25,7.25,1996,12.749429,11.583752,538.6378393173218,0.3714751,2525026040.0,981.835289478302
44.25,7.25,1997,14.659699,13.041412,496.6178023815155,0.34833595,2645965228.0,1082.7155561447144
44.25,7.25,1998,13.42089,13.297032,467.3439770936966,0.3224354,2706548786.0,1164.0872402191162
44.25,7.25,1999,13.040416,13.308202,611.3197622299194,0.35927036,2595060652.0,1054.3210248947144
44.25,7.25,2000,13.341751,13.330462,551.4395751953125,0.34040442,2718779136.0,1133.9126887321472
44.25,7.25,2001,14.051536,13.112866,467.5664620399475,0.31380153,2710844771.0,1178.9116415977478
44.25,7.25,2002,13.664462,12.321322,748.0217132568359,0.39045873,2502320653.0,945.8928756713867
44.25,7.25,2003,11.499991,14.816668,345.4013283252716,0.3007351,2830990800.0,1294.474193572998
44.25,7.25,2004,13.186223,12.913515,388.0096004009247,0.3191416,2712804772.0,1150.6434307098389
44.25,7.25,2005,13.230223,13.181033,546.4738430976868,0.35969275,2653843248.0,1090.7107510566711
44.25,7.25,2006,13.11544,13.566551,567.2265431880951,0.34544325,2669544266.0,1165.904712677002
44.25,7.25,2007,14.661213,13.033628,471.4754548072815,0.31347793,2724860807.0,1191.944416999817
44.25,7.25,2008,13.554911,12.815717,591.9324584007263,0.34704676,2572145280.0,1069.330023765564
44.25,7.25,2009,13.2558365,13.874812,461.32682049274445,0.3375681,2755616378.0,1155.175964832306
44.25,7.25,2010,11.325153,12.643016,597.6062695980072,0.36052284,2580705117.0,1036.711561203003
44.25,7.25,2011,13.945974,13.471596,557.3129781484604,0.358092,2701641674.0,1090.6171731948853
44.25,7.25,2012,12.286255,13.936651,461.1384220123291,0.32402965,2649182672.0,1156.9455981254578
44.25,7.25,2013,11.995116,12.493178,625.32350730896,0.37036765,2633618673.0,1030.351667881012
44.25,7.25,2014,14.355372,12.413637,640.5719752311707,0.38475403,2570525762.0,990.5975646972656
44.25,7.25,2015,13.922652,14.034735,562.3189573287964,0.35804588,2624206665.0,1068.9192461967468
44.25,7.25,2016,13.98317,13.453145,571.0351514816284,0.3549049,2735092652.0,1134.482014656067
44.25,7.75,1982,10.690034,16.22901,429.26039123535156,0.3264226,2496935063.0,1017.8871183395386
44.25,7.75,1983,11.344443,15.707605,524.8783304691315,0.34593433,2452485653.0,984.3328022956848
