year,lat,lon,yield_wheat_winter,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
1988,44.75,10.25,3.2370598,9.062902173878234,730.5847194194794,0.4051460731667256,2331427640.25,639.531253516674
1989,44.75,10.25,3.185278,8.656990319244132,446.0038094371557,0.36004499426065395,2607818729.5,699.5495811700821
1990,44.75,10.25,3.7736027,9.312328721866134,441.40893548727036,0.3569385101479932,2580199679.5,728.0862743258476
1991,44.75,10.25,4.2594886,7.490019590770903,613.0895875692368,0.39312735015203143,2468104951.5,651.208923637867
1992,44.75,10.25,4.561396,8.424283591317542,458.15609684586525,0.37589336152920505,2523918465.5,690.0720002353191
1993,44.75,10.25,4.275928,9.095050766448344,482.047660112381,0.37726893922514165,2557198937.5,701.6995673775673
1994,44.75,10.25,4.375362,9.087038005679107,654.7267327010632,0.3937754964779231,2465204737.25,709.3876114487648
1995,44.75,10.25,3.8891215,8.977645861215828,580.8206640481949,0.38741935937365224,2521300888.75,706.9206796884537
1996,44.75,10.25,3.8170094,8.299173370310308,619.8916658163071,0.3830151543205167,2386417138.25,699.9334349632263
1997,44.75,10.25,3.5249033,9.39274409881308,618.566912829876,0.36640826483403355,2616307390.75,831.3957032263279
1998,44.75,10.25,4.225879,9.65686117814592,527.1634872555733,0.3733121252749577,2599658242.75,783.5857401490211
1999,44.75,10.25,4.331468,8.737911377071349,516.4032596349716,0.38410744822222337,2528496933.25,742.7196453213692
2000,44.75,10.25,3.7364912,9.176136549117635,609.7456715404987,0.3828610457755901,2568625233.75,750.8476697802544
2001,44.75,10.25,3.3847744,9.829983485631706,854.2046363353729,0.402239694698783,2441857739.0,710.3829789161682
2002,44.75,10.25,3.9114888,9.02100146013843,540.9884304404259,0.3833325224474442,2530939454.0,716.6624531149864
2003,44.75,10.25,3.3540115,9.833716108779276,579.4855407476425,0.36738294289131795,2641406398.5,803.0632119178772
2004,44.75,10.25,4.0611815,8.486422270904352,792.9566991329193,0.39738213390479854,2416095994.5,687.915009200573
2005,44.75,10.25,4.7690454,8.767808568379111,541.9715941548347,0.3831713163901952,2563133697.5,736.6093681454659
2006,44.75,10.25,4.4549403,8.16283796955485,576.1008887290955,0.3896979772108645,2483578012.75,726.5316786766052
2007,44.75,10.25,4.4645667,10.849525810273226,492.9862917661667,0.3690199922185299,2577615488.5,769.5623095631599
2008,44.75,10.25,4.5386643,9.196210401048386,586.2319632172585,0.38914244569868706,2460735812.25,696.1792883872986
2009,44.75,10.25,3.574966,9.008568009069144,934.7290385961533,0.38585010355661725,2452273583.25,732.0833010673523
2010,44.75,10.25,4.004445,8.200049994405637,998.1083033084869,0.4089398380399735,2251200994.0,618.7859959602356
2011,44.75,10.25,4.3021483,8.899062659375923,741.2832134962082,0.39111347114744266,2494495697.25,694.6712670326233
2012,44.75,10.25,5.0146704,9.075878561769493,487.3266693353653,0.3662736342277056,2550043036.0,743.7404720187187
2013,44.75,10.25,3.91801,8.100176878211911,1114.394685268402,0.4186071540452232,2216571576.75,576.8248790502548
2014,44.75,10.25,4.1963806,10.047931268195475,891.5183392763138,0.39378168723307366,2484189178.5,707.646414577961
2015,44.75,10.25,4.1300745,10.017996667830412,828.1459698677063,0.3961602269617979,2475623414.75,706.9153387546539
2016,44.75,10.25,4.9300675,9.999975541000994,655.1613752990961,0.38333201518765203,2534036152.5,723.4102514982224
1982,44.75,10.75,3.113632,9.038054210095366,374.3834253549576,0.36458100538608457,2528045844.75,802.2910603284836
1983,44.75,10.75,3.0104725,9.709620623549155,563.2454310059547,0.3735197192627536,2427921516.0,765.1391054391861
1984,44.75,10.75,3.0045016,7.917376140508142,670.4552417993546,0.37563830945226884,2358740809.5,703.5249307751656
