year,lat,lon,yield_soybean,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
2006,43.75,12.25,3.8646235,18.817738,353.32112777233124,0.27426088,2777766380.0,1149.6468868255615
2007,43.75,12.25,2.7765658,18.890131,257.1194698214531,0.24748096,2769978378.0,1222.584093093872
2008,43.75,12.25,3.4319365,18.681606,304.5972016453743,0.27276403,2719561894.0,1111.8440337181091
2009,43.75,12.25,4.0083804,19.446735,286.94654846191406,0.2679116,2761668812.0,1153.1240801811218
2010,43.75,12.25,4.0802197,18.100687,445.0886620283127,0.30876988,2642273170.0,1040.7121982574463
2011,43.75,12.25,3.7537627,19.572422,265.3377624452114,0.24857602,2843475854.0,1214.5092058181763
2012,43.75,12.25,3.0765147,19.793777,334.3011088371277,0.26282215,2785366348.0,1238.301483631134
2013,43.75,12.25,4.2224708,18.381506,383.1544826030731,0.2893795,2717807055.0,1074.3098363876343
2014,43.75,12.25,5.0068674,17.703997,508.85729229450226,0.32654387,2609594870.0,992.3031845092773
2015,43.75,12.25,4.16167,19.80364,329.649689078331,0.26676184,2744961612.0,1136.7814841270447
2016,43.75,12.25,4.7067194,18.583569,443.1103484630585,0.31877846,2732626916.0,1055.716390132904
1982,44.25,6.75,0.6104211,11.345995,526.2289519309998,0.3638999,2571489472.0,934.532600402832
1983,44.25,6.75,0.7044806,10.780763,643.1754100322723,0.37969285,2444179445.0,862.2608261108398
1984,44.25,6.75,0.64775616,9.072236,587.2409697771072,0.34808078,2379179215.0,858.37029504776
1985,44.25,6.75,0.9205696,11.297396,389.5504597425461,0.30451185,2669113988.0,1042.5817558765411
1986,44.25,6.75,0.6993557,11.27255,433.5496085882187,0.34776452,2592178836.0,944.1633622646332
1987,44.25,6.75,1.2101394,10.981498,536.3923716545105,0.37032372,2697417728.0,959.271933555603
1988,44.25,6.75,1.2199962,10.925537,495.5056884288788,0.35186598,2597800456.0,942.6637675762177
1989,44.25,6.75,0.6437113,10.972066,440.5950676202774,0.35093433,2753713684.0,1004.3419885635376
1990,44.25,6.75,0.75421697,11.441429,439.6248071193695,0.3367064,2751360402.0,1027.8203573226929
1991,44.25,6.75,0.8509138,11.199919,511.68583488464355,0.31884044,2655705056.0,1035.6505961418152
1992,44.25,6.75,0.54587907,11.056336,624.399636387825,0.3507262,2571936097.0,937.4061417579651
1993,44.25,6.75,0.8639937,11.120088,549.862450838089,0.3408761,2735717802.0,1035.8902220726013
1994,44.25,6.75,1.218634,11.909702,601.3530079126358,0.35139683,2656173140.0,1030.2472715377808
1995,44.25,6.75,0.87279,10.097939,673.8873796463013,0.3958945,2634645838.0,906.7215595245361
1996,44.25,6.75,1.2256227,9.905158,507.76312232017517,0.38121754,2567749614.0,896.6262121200562
1997,44.25,6.75,1.4332381,11.386475,481.3523905277252,0.3557455,2703137572.0,1008.4416456222534
1998,44.25,6.75,1.0915582,11.670439,439.141774058342,0.31108972,2803466426.0,1116.3437819480896
1999,44.25,6.75,1.2317016,11.647921,543.1673551797867,0.3609751,2704038328.0,1005.232789516449
2000,44.25,6.75,1.2183844,11.641713,463.46580839157104,0.327178,2841488820.0,1110.1047768592834
2001,44.25,6.75,0.945737,11.49807,425.80746042728424,0.29782644,2768585798.0,1127.164948940277
2002,44.25,6.75,1.0748882,10.893557,646.2734317779541,0.3789397,2633113414.0,959.0232849121094
2003,44.25,6.75,0.75843716,13.183744,324.57532382011414,0.29747424,2895820694.0,1205.873511314392
2004,44.25,6.75,1.0136112,11.266047,333.6812072992325,0.31173173,2760461956.0,1087.3066833019257
2005,44.25,6.75,0.9990915,11.681519,473.5771200656891,0.35753697,2798318396.0,1072.1561117172241
2006,44.25,6.75,1.0135102,11.864582,526.4059460163116,0.34757668,2782471640.0,1090.4281063079834
2007,44.25,6.75,1.1326087,11.3516445,433.067151427269,0.31214368,2833054600.0,1132.45378780365
2008,44.25,6.75,1.3509665,11.141419,561.1143107414246,0.34648424,2667980993.0,1013.9135944843292
2009,44.25,6.75,1.1445965,12.424906,417.9490604400635,0.33261633,2810918416.0,1123.741970539093
2010,44.25,6.75,1.207951,10.925311,517.7090219259262,0.34893003,2627911975.0,964.4651942253113
2011,44.25,6.75,1.281537,11.795517,491.70287239551544,0.35314676,2805107680.0,1062.6321930885315
2012,44.25,6.75,1.0859625,12.456777,382.41773426532745,0.30466074,2829687048.0,1190.0431747436523
2013,44.25,6.75,0.9267974,10.775476,561.4043304920197,0.3604741,2629550778.0,952.46431016922
2014,44.25,6.75,1.3055329,10.878809,534.8395164012909,0.36725062,2679977306.0,978.5657076835632
2015,44.25,6.75,1.2372353,12.642485,484.4245014190674,0.34116682,2773621822.0,1108.3605880737305
2016,44.25,6.75,0.9518404,12.012144,496.3771768808365,0.33876234,2840808280.0,1113.3638467788696
1982,44.25,7.25,4.696738,13.050962,544.4137835502625,0.36520398,2494372951.0,985.2907919883728
1983,44.25,7.25,4.3210573,12.524153,648.2618386745453,0.37231642,2443912681.0,960.5448637008667
1984,44.25,7.25,4.1671743,10.745813,693.6931754350662,0.36380345,2368274846.0,911.265860080719
1985,44.25,7.25,4.200395,13.005396,431.148873090744,0.3108063,2593339918.0,1091.3244066238403
1986,44.25,7.25,4.5608835,12.872706,500.35188269615173,0.34744567,2503367837.0,990.2575554847717
1987,44.25,7.25,4.5465093,12.730981,501.29917335510254,0.36209434,2591311793.0,1026.288489818573
1988,44.25,7.25,4.604793,12.649725,529.1033111810684,0.35349146,2525622164.0,996.5432252883911
1989,44.25,7.25,5.1464252,12.483613,471.7353971004486,0.3607738,2643949664.0,1041.4897484779358
1990,44.25,7.25,5.305271,13.072632,489.23671078681946,0.34659094,2617509434.0,1061.2497582435608
1991,44.25,7.25,5.329465,12.807528,530.3457969427109,0.31752038,2604515749.0,1103.1896424293518
1992,44.25,7.25,4.39902,12.627554,650.2788965702057,0.36041164,2495549501.0,961.7433609962463
1993,44.25,7.25,5.0988107,12.777681,544.9436997175217,0.33833456,2630604824.0,1077.3878450393677
1994,44.25,7.25,5.5006166,13.551718,634.8695456981659,0.35232154,2569785306.0,1072.2391662597656
1995,44.25,7.25,6.3056245,11.729643,734.9848113059998,0.39346385,2535223382.0,970.6991300582886
1996,44.25,7.25,5.168984,11.583752,538.6378393173218,0.3714751,2525026040.0,981.835289478302
1997,44.25,7.25,5.847969,13.041412,496.6178023815155,0.34833595,2645965228.0,1082.7155561447144
1998,44.25,7.25,5.048267,13.297032,467.3439770936966,0.3224354,2706548786.0,1164.0872402191162
1999,44.25,7.25,4.6977487,13.308202,611.3197622299194,0.35927036,2595060652.0,1054.3210248947144
2000,44.25,7.25,4.7081547,13.330462,551.4395751953125,0.34040442,2718779136.0,1133.9126887321472
2001,44.25,7.25,5.6558228,13.112866,467.5664620399475,0.31380153,2710844771.0,1178.9116415977478
2002,44.25,7.25,5.5958953,12.321322,748.0217132568359,0.39045873,2502320653.0,945.8928756713867
2003,44.25,7.25,3.9864163,14.816668,345.4013283252716,0.3007351,2830990800.0,1294.474193572998
2004,44.25,7.25,4.898295,12.913515,388.0096004009247,0.3191416,2712804772.0,1150.6434307098389
2005,44.25,7.25,5.1097775,13.181033,546.4738430976868,0.35969275,2653843248.0,1090.7107510566711
2006,44.25,7.25,4.723194,13.566551,567.2265431880951,0.34544325,2669544266.0,1165.904712677002
2007,44.25,7.25,4.9809856,13.033628,471.4754548072815,0.31347793,2724860807.0,1191.944416999817
2008,44.25,7.25,4.7839527,12.815717,591.9324584007263,0.34704676,2572145280.0,1069.330023765564
2009,44.25,7.25,5.461461,13.874812,461.32682049274445,0.3375681,2755616378.0,1155.175964832306
2010,44.25,7.25,3.993167,12.643016,597.6062695980072,0.36052284,2580705117.0,1036.711561203003
2011,44.25,7.25,4.7600636,13.471596,557.3129781484604,0.358092,2701641674.0,1090.6171731948853
2012,44.25,7.25,4.079691,13.936651,461.1384220123291,0.32402965,2649182672.0,1156.9455981254578
2013,44.25,7.25,4.6781473,12.493178,625.32350730896,0.37036765,2633618673.0,1030.351667881012
2014,44.25,7.25,5.440213,12.413637,640.5719752311707,0.38475403,2570525762.0,990.5975646972656
2015,44.25,7.25,5.159993,14.034735,562.3189573287964,0.35804588,2624206665.0,1068.9192461967468
2016,44.25,7.25,5.0875597,13.453145,571.0351514816284,0.3549049,2735092652.0,1134.482014656067
1982,44.25,7.75,5.027266,16.22901,429.26039123535156,0.3264226,2496935063.0,1017.8871183395386
1983,44.25,7.75,4.625396,15.707605,524.8783304691315,0.34593433,2452485653.0,984.3328022956848
1984,44.25,7.75,4.7879305,13.912875,705.8971003890038,0.3468147,2402195618.0,928.451012134552
1985,44.25,7.75,4.9418826,15.963847,388.135569691658,0.30396083,2556035383.0,1053.0898823738098
1986,44.25,7.75,5.280924,15.956676,430.69937324523926,0.3221367,2520624604.0,1017.4721760749817
1987,44.25,7.75,4.922098,15.861559,389.02624106407166,0.32200426,2573479483.0,1049.2003321647644
1988,44.25,7.75,4.938728,15.746801,433.759648501873,0.32244655,2531853242.0,1019.4612064361572
1989,44.25,7.75,5.2379675,15.561003,421.24250519275665,0.34130824,2616804326.0,1041.9958138465881
1990,44.25,7.75,5.011673,16.0401,400.28387010097504,0.3282272,2587967112.0,1040.2046122550964
1991,44.25,7.75,5.5709553,15.969325,457.8499388694763,0.29307604,2630637888.0,1118.1224308013916
1992,44.25,7.75,4.5811143,15.680601,623.072762966156,0.35019788,2491070494.0,955.3599162101746
1993,44.25,7.75,5.242479,15.8124485,535.2894946336746,0.3218937,2615307752.0,1073.8091793060303
1994,44.25,7.75,5.1659956,16.554935,592.6276780366898,0.32511988,2535074829.0,1062.2835111618042
1995,44.25,7.75,6.246995,14.879221,650.6890578269958,0.36363792,2528612977.0,987.9623403549194
1996,44.25,7.75,6.0505123,14.735736,489.8399147987366,0.34447178,2544235152.0,1025.0518102645874
1997,44.25,7.75,6.14956,16.074444,420.0437593460083,0.31763807,2613766095.0,1088.1583528518677
1998,44.25,7.75,5.52207,16.300985,440.8355236649513,0.31395897,2670546620.0,1135.9086284637451
1999,44.25,7.75,5.4777064,16.387482,556.584645986557,0.33294103,2550511512.0,1054.1341361999512
2000,44.25,7.75,5.2303176,16.303947,546.7280898094177,0.3264403,2664806502.0,1089.1529607772827
2001,44.25,7.75,6.1298585,16.099945,427.1713013648987,0.3050886,2673315017.0,1151.0650129318237
2002,44.25,7.75,6.1239424,15.346182,765.9058427810669,0.3786444,2483410196.0,934.6182465553284
2003,44.25,7.75,4.4458323,18.086416,270.71391808986664,0.2752095,2792609488.0,1297.7119398117065
2004,44.25,7.75,5.376855,15.938876,367.3726044893265,0.3001737,2694184542.0,1125.7761001586914
2005,44.25,7.75,5.7966185,16.31055,459.1471908092499,0.33143944,2597750044.0,1082.5226311683655
2006,44.25,7.75,4.8329773,16.668583,492.30155992507935,0.3008915,2649738408.0,1175.9084601402283
2007,44.25,7.75,5.217984,16.009441,417.0197466611862,0.2955554,2705195745.0,1175.789029121399
2008,44.25,7.75,4.964855,15.874639,526.8564448356628,0.33359167,2544313292.0,1046.5861520767212
2009,44.25,7.75,5.9481435,17.095095,400.9068742990494,0.30636948,2755443118.0,1191.8674201965332
2010,44.25,7.75,5.334285,15.885953,535.7642328739166,0.34190565,2592489326.0,1052.9751162528992
2011,44.25,7.75,5.2560267,16.665768,434.36555939912796,0.32183936,2692014374.0,1113.9103255271912
2012,44.25,7.75,4.680642,16.813652,445.99006175994873,0.31213745,2583090956.0,1103.0273480415344
2013,44.25,7.75,5.4181094,15.793524,552.7963583469391,0.34620017,2655918672.0,1056.70916223526
2014,44.25,7.75,6.233452,15.488373,650.6071329116821,0.3835204,2528803578.0,966.3972392082214
2015,44.25,7.75,5.8460402,17.015265,536.0757448673248,0.34241396,2595025141.0,1065.2924132347107
2016,44.25,7.75,5.903318,16.53891,492.63784980773926,0.33921742,2701382982.0,1121.745210647583
1982,44.25,10.75,5.3955827,17.768478,423.5827739238739,0.26181763,2591038555.0,1315.288007736206
1983,44.25,10.75,3.9122272,17.394716,422.99505227804184,0.26264185,2561027934.0,1343.3162865638733
1984,44.25,10.75,5.53145,15.49297,637.7066458463669,0.28443798,2447919361.0,1194.2863640785217
1985,44.25,10.75,4.0299463,17.534302,347.0269583463669,0.24587,2608768556.0,1371.6661615371704
1986,44.25,10.75,5.1100903,17.25413,417.76134514808655,0.26476988,2645992844.0,1337.8291816711426
1987,44.25,10.75,4.3772807,17.20395,403.72047674655914,0.25987047,2664308946.0,1370.7865657806396
1988,44.25,10.75,4.3465505,17.200256,386.34799259901047,0.25649855,2581334481.0,1357.170349597931
1989,44.25,10.75,5.4387493,16.415863,655.8440737724304,0.3025083,2585401547.0,1226.8792362213135
1990,44.25,10.75,5.217541,17.144367,367.3596798181534,0.2558921,2687950630.0,1394.7339487075806
1991,44.25,10.75,5.265034,17.181198,446.09601670503616,0.2455486,2646359783.0,1388.963080406189
1992,44.25,10.75,4.6316857,17.674929,366.399617433548,0.24504653,2645869242.0,1399.7881145477295
1993,44.25,10.75,5.192613,17.422775,391.71337246894836,0.24700733,2675646268.0,1433.5473880767822
1994,44.25,10.75,6.2615027,18.26942,480.26518046855927,0.25579163,2654001096.0,1435.5591859817505
1995,44.25,10.75,6.4834986,16.262705,571.7727171182632,0.28897938,2589822916.0,1266.2855434417725
1996,44.25,10.75,5.734243,16.195501,494.87409830093384,0.26765615,2620530750.0,1330.1270747184753
1997,44.25,10.75,5.6140237,17.3576,388.7683300971985,0.26724795,2697974922.0,1376.7665090560913
1998,44.25,10.75,4.713585,17.971066,351.1466007232666,0.23109484,2747775118.0,1550.7342538833618
1999,44.25,10.75,5.706807,17.856403,468.5732834339142,0.27018154,2605761855.0,1348.8789639472961
2000,44.25,10.75,4.925468,17.874182,402.99587512016296,0.24837475,2765134868.0,1486.7384786605835
2001,44.25,10.75,5.8948135,17.363539,462.83872532844543,0.25531045,2717608028.0,1446.1857471466064
2002,44.25,10.75,5.918651,16.903276,662.1109952926636,0.30401832,2529155273.0,1208.202808856964
2003,44.25,10.75,4.056327,19.790447,242.56392914056778,0.19657838,2851431496.0,1732.909899711609
2004,44.25,10.75,5.485016,16.99736,448.43936812877655,0.25428125,2723477594.0,1421.1874361038208
2005,44.25,10.75,5.4136467,17.477533,419.4890525341034,0.2611802,2650735019.0,1387.7409038543701
2006,44.25,10.75,4.5663,17.87741,418.4106197357178,0.24806495,2758378622.0,1521.7052431106567
2007,44.25,10.75,4.069504,17.426287,337.834136903286,0.22938271,2710122497.0,1500.1386241912842
2008,44.25,10.75,4.3351383,17.301294,446.50822108983994,0.25602722,2621204245.0,1354.771743774414
2009,44.25,10.75,4.8454037,18.472345,337.07504415512085,0.23617919,2740689228.0,1507.3727169036865
2010,44.25,10.75,5.039511,16.999685,602.655889749527,0.2911293,2572781359.0,1263.1053829193115
2011,44.25,10.75,4.4447517,18.316517,327.29128336906433,0.23060401,2810007156.0,1564.0398235321045
2012,44.25,10.75,3.9465947,18.46345,406.4631567001343,0.23252869,2752065446.0,1557.9180836677551
2013,44.25,10.75,4.6596627,17.426397,437.8890073299408,0.26034132,2688533526.0,1434.419469833374
2014,44.25,10.75,5.605473,16.744793,560.661290884018,0.30284706,2572519186.0,1218.299331188202
2015,44.25,10.75,5.014414,18.696531,385.062903881073,0.25041187,2725366034.0,1484.207176208496
2016,44.25,10.75,5.0503035,17.830223,506.6022220849991,0.26543456,2742389862.0,1444.914137840271
1982,44.25,11.25,4.764922,19.228447,289.76269590854645,0.2894451,2573466739.0,1134.6154522895813
1983,44.25,11.25,3.7068417,18.990559,302.5638453066349,0.28034705,2575885152.0,1179.7801775932312
1984,44.25,11.25,5.0034227,17.013859,454.10776233673096,0.3161527,2455582586.0,1065.1864819526672
1985,44.25,11.25,4.1411433,19.15619,241.04555886983871,0.27180654,2609409292.0,1205.3010368347168
1986,44.25,11.25,4.859294,18.6268,381.30687379837036,0.30566245,2641472372.0,1143.4701194763184
1987,44.25,11.25,4.0994635,18.846355,268.63954865932465,0.27958655,2654842773.0,1226.8234734535217
1988,44.25,11.25,3.9941938,18.816818,309.1264532506466,0.29095924,2584065938.0,1183.5839214324951
1989,44.25,11.25,5.0154095,17.833254,625.4081161022186,0.3468557,2564745497.0,1054.8990960121155
1990,44.25,11.25,4.927721,18.620975,293.6603544950485,0.2911218,2667278962.0,1209.6003217697144
1991,44.25,11.25,5.325937,18.734432,324.5364372730255,0.2712969,2636996874.0,1194.964720249176
1992,44.25,11.25,4.4752345,19.411007,201.1445667743683,0.2567915,2653503550.0,1239.2848682403564
1993,44.25,11.25,4.698922,19.124275,254.6129651069641,0.26449046,2678915996.0,1282.7705926895142
1994,44.25,11.25,5.5185056,19.705515,389.2065342962742,0.29508153,2664550292.0,1224.7436814308167
1995,44.25,11.25,5.860776,17.750141,454.14389538764954,0.32593995,2566414070.0,1093.2661423683167
1996,44.25,11.25,5.4302025,17.742924,395.8042457103729,0.30295166,2605813378.0,1166.2191257476807
1997,44.25,11.25,5.349247,18.950802,284.04466450214386,0.29120788,2701491810.0,1228.2981643676758
1998,44.25,11.25,4.480504,19.67216,260.1012809276581,0.26009983,2737401392.0,1352.2369527816772
1999,44.25,11.25,5.2972894,19.357513,356.2766044139862,0.30674866,2597960623.0,1190.3385105133057
2000,44.25,11.25,4.804583,19.54354,335.1422892808914,0.28015882,2762155980.0,1307.1810159683228
2001,44.25,11.25,5.468277,18.906193,356.54918670654297,0.28824902,2700923398.0,1250.3024320602417
2002,44.25,11.25,5.7078185,18.423666,568.5084154605865,0.34624964,2509910736.0,1049.1671018600464
2003,44.25,11.25,3.8500628,21.55976,165.14359134435654,0.22044615,2835208334.0,1462.409598350525
2004,44.25,11.25,5.356225,18.515842,401.4486244916916,0.29777455,2713631618.0,1244.556764125824
2005,44.25,11.25,5.395385,19.158298,350.4682158231735,0.29528812,2641782210.0,1220.8799362182617
2006,44.25,11.25,4.5722246,19.414331,323.42650628089905,0.28626052,2747910441.0,1292.3440132141113
2007,44.25,11.25,4.1138744,19.169643,245.81451666355133,0.2581173,2709837394.0,1338.6290392875671
2008,44.25,11.25,4.431136,19.02067,383.8438289761543,0.29338625,2629480069.0,1194.9562244415283
2009,44.25,11.25,4.755995,20.098673,252.88790678977966,0.26716906,2719831186.0,1308.2289819717407
2010,44.25,11.25,4.807463,18.620718,430.0495561361313,0.32201952,2568143264.0,1123.9725666046143
2011,44.25,11.25,4.6456676,20.12261,235.7064339518547,0.25269225,2806058510.0,1372.2345819473267
2012,44.25,11.25,3.9761512,20.253948,349.6217987537384,0.2676808,2743148516.0,1387.5122117996216
2013,44.25,11.25,4.894398,19.08427,310.34336841106415,0.28667104,2671074523.0,1236.4462943077087
2014,44.25,11.25,5.3571606,18.215748,475.1406818628311,0.33961192,2553273977.0,1071.415849685669
2015,44.25,11.25,4.8433657,20.221874,329.39592730998993,0.28682703,2702012550.0,1263.4370317459106
2016,44.25,11.25,4.9680347,19.442755,397.5666608810425,0.30173534,2725198776.0,1257.5028867721558
1982,44.25,11.75,3.1292834,20.281433,259.98034155368805,0.2692887,2564459496.0,1044.0107688903809
1983,44.25,11.75,2.515727,20.040653,273.19968885183334,0.26148742,2587238547.0,1095.6145887374878
1984,44.25,11.75,3.642003,18.24561,397.17281740903854,0.3008894,2484463207.0,1023.392186164856
1985,44.25,11.75,2.2782311,20.249191,206.84071844816208,0.2525835,2608180984.0,1122.2479276657104
1986,44.25,11.75,3.2467082,19.66119,346.0240483880043,0.28941932,2636648782.0,1052.691035270691
1987,44.25,11.75,3.0784938,20.14581,245.22466802597046,0.25731677,2649239184.0,1159.936321258545
1988,44.25,11.75,2.9711783,19.921162,295.85053327679634,0.28163332,2588789101.0,1095.6989331245422
1989,44.25,11.75,3.3758917,18.828379,652.9331998825073,0.32975307,2551077964.0,985.0405550003052
1990,44.25,11.75,3.307217,19.76279,305.88260209560394,0.2770664,2662907560.0,1123.6017127037048
1991,44.25,11.75,3.8978157,19.816153,297.65056681632996,0.26004773,2627995587.0,1109.8423147201538
1992,44.25,11.75,3.1069014,20.631727,162.96475511789322,0.23567763,2664866632.0,1164.7479286193848
1993,44.25,11.75,3.3232706,20.466354,224.98555493354797,0.24133167,2678977402.0,1221.1569805145264
1994,44.25,11.75,3.9128494,20.867859,344.00978595018387,0.26662415,2679888022.0,1145.145384311676
1995,44.25,11.75,4.186482,18.802345,461.2594904899597,0.31618994,2556722907.0,1004.6305956840515
1996,44.25,11.75,3.7010171,18.955002,351.73649775981903,0.28317612,2597926152.0,1096.253658771515
1997,44.25,11.75,3.8895397,20.116974,248.28668022155762,0.26661253,2700500197.0,1152.2038769721985
1998,44.25,11.75,3.3973846,20.995985,251.0819429755211,0.24663942,2721237552.0,1253.3185963630676
1999,44.25,11.75,3.870927,20.58939,341.7571932077408,0.29039392,2596203905.0,1110.1648530960083
2000,44.25,11.75,3.6504524,20.877542,284.5679041147232,0.2527778,2757457912.0,1244.0990076065063
2001,44.25,11.75,3.6801372,20.103382,301.23166704177856,0.2686941,2695194438.0,1176.9101514816284
2002,44.25,11.75,4.234189,19.474276,582.4298603534698,0.33717957,2504556330.0,964.6950297355652
2003,44.25,11.75,2.4966984,22.4847,182.03065621852875,0.21862061,2804449370.0,1295.8435587882996
2004,44.25,11.75,3.6953914,19.66078,332.90985333919525,0.28298792,2706112874.0,1157.3144798278809
2005,44.25,11.75,3.9153295,20.116205,384.6320927143097,0.2940176,2638469908.0,1106.597981452942
2006,44.25,11.75,3.236343,20.254019,343.07774662971497,0.285317,2733162358.0,1147.5905718803406
2007,44.25,11.75,2.7199564,20.488834,247.21974229812622,0.24593067,2716052164.0,1263.3144364356995
